STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-02-28,0.00,55,69,48
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-01,0.00,55,69,45
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-02,0.00,55,65,44
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-03,0.00,55,64,48
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-04,0.00,53,63,45
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-05,0.21,55,65,46
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-06,0.01,55,58,47
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-07,0.00,52,60,44
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-08,0.00,53,59,45
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-09,0.20,53,60,48
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-10,0.47,50,56,45
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-11,0.09,49,59,43
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-12,0.00,52,65,43
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-13,0.00,53,56,50
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-14,0.17,53,58,47
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-15,0.03,50,55,45
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-16,0.00,50,57,43
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-17,0.00,49,56,43
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-18,0.16,53,58,51
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-19,0.01,56,61,51
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-20,0.03,54,58,48
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-21,0.00,52,61,44
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-22,0.00,53,61,49
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-23,0.00,55,66,47
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-24,0.00,62,69,51
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-25,0.00,54,60,48
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-26,0.00,54,71,45
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-27,0.00,57,77,46
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-28,0.00,58,68,48
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-29,0.00,53,63,48
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-30,0.00,59,77,49
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-31,0.00,64,81,54
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-04-01,0.00,66,84,54
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-04-02,0.00,60,70,50
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-04-03,0.00,55,63,51
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-04-04,0.00,56,62,52
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-04-05,0.00,54,57,52
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-04-06,0.00,54,63,50
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-04-07,0.00,54,59,50
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-04-08,0.00,54,62,51
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-04-09,0.00,54,59,50
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-04-10,0.00,54,64,49
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-04-11,0.00,55,68,48
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-04-12,0.00,55,66,48
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-04-13,0.00,55,61,51
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-04-14,0.00,56,69,49
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-04-15,0.00,56,65,47
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-04-16,0.00,54,60,48
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-04-17,0.00,54,62,51
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-04-18,0.00,58,76,48
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-04-19,0.00,56,63,50
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-04-20,0.00,55,60,53
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-04-21,0.00,56,64,51
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-04-22,0.00,55,62,50
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-04-23,0.00,56,68,52
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-04-24,0.00,56,66,51
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-04-25,0.00,56,60,51
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-04-26,0.00,55,62,49
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-04-27,0.00,56,70,48
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-04-28,0.00,61,83,50
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-04-29,0.00,59,63,52
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-04-30,0.00,57,62,53
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-05-01,0.00,56,61,53
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-05-02,0.00,57,67,52
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-05-03,0.00,60,77,50
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-05-04,0.00,62,72,54
